	id	Ranked topics
73	Rousseau_Emile1	[(0.4617741002128404, 0), (0.05231075472802835, 15), (0.04741636764907013, 5), (0.045254142718565885, 11), (0.04183733961795092, 2), (0.039918274671804234, 10), (0.03907885528786177, 3), (0.038795378316482304, 4), (0.037856900466468994, 8), (0.03291375610126436, 16)]
74	Rousseau_Emile2	[(0.2403034334807477, 0), (0.12118859326524392, 10), (0.11899146777353342, 5), (0.06422093215985664, 8), (0.05863120165048001, 18), (0.048141524262668565, 11), (0.0462678184003197, 2), (0.04228881623717885, 19), (0.041942033725724234, 1), (0.03271805372505738, 17)]
75	Rousseau_Julie	[(0.2072444208654245, 5), (0.1293818553286297, 0), (0.09188631914850716, 2), (0.08984046371399235, 19), (0.06620909113632302, 8), (0.055661011331858905, 17), (0.046968455453204785, 11), (0.045373490768094785, 10), (0.0403361016602764, 18), (0.03967742865449412, 1)]
76	Sacy_Amours	[(0.5197141691815034, 17), (0.12152938557483862, 2), (0.0956464958423302, 4), (0.0388603816437836, 14), (0.03773663431142844, 1), (0.033022956015951774, 5), (0.023464724081025068, 13), (0.015501481050725529, 6), (0.014872623084196002, 9), (0.014485776956884638, 11)]
77	Sade_120	[(0.4484241432813702, 6), (0.06528653741251411, 13), (0.055211120085003285, 15), (0.05017592543995848, 0), (0.04145390894873407, 18), (0.03799363091025036, 19), (0.03760855561909626, 14), (0.03233761853398134, 1), (0.031440263495985624, 10), (0.028874538396214032, 16)]
78	Sade_Aline	[(0.10426429352086893, 13), (0.0978863776404844, 10), (0.0924179144764836, 14), (0.08365857503228799, 5), (0.07914507022093054, 2), (0.06364655901241106, 11), (0.053693016326688006, 0), (0.0524997176491809, 15), (0.049854378182339495, 1), (0.0478151659841727, 19)]
79	Sade_Infortunes	[(0.1630268774450893, 14), (0.12983941391487086, 13), (0.08529381807007276, 11), (0.08450339400277568, 10), (0.0685475996383574, 15), (0.06499793016563843, 2), (0.052305399348045116, 5), (0.043232019598533566, 0), (0.041919130723398534, 1), (0.040904361715886114, 19)]
80	Sade_Justine	[(0.15292697816380732, 14), (0.1068178432391197, 10), (0.09477298265405436, 6), (0.08125494619430843, 13), (0.07102228251212113, 15), (0.0654015973429463, 0), (0.06148498099622311, 2), (0.06012748127377775, 11), (0.04691784914628446, 5), (0.04536593348258785, 17)]
81	Sade_Philosophie	[(0.23654288958791694, 10), (0.1906734095386303, 6), (0.09664295630901107, 0), (0.052916987497921966, 1), (0.0525099625847178, 5), (0.04913991503058747, 14), (0.03885057930757151, 17), (0.03813553944612595, 18), (0.0323709556891738, 9), (0.03196172711727501, 13)]
82	Segur_Correspondance	[(0.2832325515245216, 19), (0.07522529133323187, 8), (0.0717767447919045, 18), (0.07090845768389377, 7), (0.0529106753748288, 5), (0.04402665797509245, 1), (0.0430902809079241, 15), (0.040784003154927286, 12), (0.040213841492989365, 13), (0.03929259390646375, 9)]
83	Senac_Emigre	[(0.14243150824888828, 8), (0.11316995508461412, 7), (0.0816846041815155, 2), (0.07586421235685545, 11), (0.07487260513743453, 19), (0.07065443523485554, 5), (0.04912188384583669, 3), (0.04868071888407526, 0), (0.0458710854760661, 9), (0.0429698012424482, 1)]
84	Souza_Adele	[(0.16178981438561482, 19), (0.1481058314336717, 8), (0.11715233920756088, 15), (0.10544959695426956, 2), (0.07547066350336072, 13), (0.07339430572971839, 1), (0.07051774544616758, 5), (0.038951668011335185, 4), (0.03784868826577256, 0), (0.033091835130852065, 18)]
85	Tiphaigne_Galligenes1	[(0.16314113594575513, 4), (0.1570349791986594, 0), (0.09105418321444013, 10), (0.07223986941796795, 8), (0.06428396319935073, 11), (0.06381289995051033, 5), (0.059972012824906336, 2), (0.05582993912658624, 9), (0.051299110127897014, 17), (0.04259041883182863, 3)]
86	Tiphaigne_Galligenes2	[(0.1817894043054432, 9), (0.11192694373046363, 0), (0.08130871945138539, 10), (0.08087393557015465, 5), (0.0753775057822625, 4), (0.07222022834337101, 8), (0.06410016157523361, 2), (0.04938108663916165, 11), (0.048325332716768615, 17), (0.044741180617370466, 14)]
87	Voltaire_Candide	[(0.2608724109749147, 16), (0.06773096009731505, 19), (0.06707932692765084, 4), (0.06005750321886965, 9), (0.05327659961874223, 11), (0.04600428785079274, 3), (0.04579365480090546, 18), (0.04563822463230832, 2), (0.043201481638623834, 12), (0.0396878265288657, 14)]
88	Voltaire_Homme	[(0.247663516067432, 11), (0.14465533421195656, 16), (0.08219920534672068, 9), (0.06781542363774648, 10), (0.060551882042440414, 3), (0.05051073113075135, 4), (0.04844942452801968, 0), (0.044233252825494715, 19), (0.03800707892202199, 1), (0.03303661311560184, 14)]
89	Voltaire_Princesse	[(0.2662300140635497, 9), (0.07343803025590455, 4), (0.06582898818709756, 18), (0.06485637371639709, 19), (0.059115350091366266, 16), (0.05499695374745906, 15), (0.05411036137709095, 12), (0.0476037264326984, 1), (0.043173511024570524, 17), (0.04312694723004528, 10)]
90	Total	[(0.0876296130485737, 2), (0.08329981328373794, 8), (0.08257447859212202, 5), (0.06291557325137563, 19), (0.06163761063512053, 17), (0.059811056441090714, 15), (0.05612495897844223, 0), (0.055028846317227605, 18), (0.05257170040338273, 1), (0.04439981758670726, 13)]
