al	dhtr-id	source	obvil-id	author-short	author gender	author-birth	author-death	author-name	author-gender	title-short	title-full	year-ref	year-creation	genre	available-print	editor	(all)available-digital	(all)available-google 	format	url Gallica	Full text	double-keying	for ocr model	Jiangsu	Teilkorpus description double	Teilkorpus Pilot	TEI-XML vorhanden?	protagonists	narration	setting-place	Bibliographie-ID	Form (tei-Header)	Wikidata-ID (tei-Header)	Viaf-ID (tei-Header)	
Anonyme_Zoloe	Anonyme_Zoloe	?	?	(Anonymous)		N/A	N/A	(Anonymous)	N/A	Zoloe	Zoloé et ses deux acolythes	1800		roman						https://gallica.bnf.fr/ark:/12148/bpt6k1512367g.r=Zolo%C3%A9%20et%20ses%20deux%20acolythes?rk=21459;2	Wikisource: https://fr.wikisource.org/wiki/Zolo%C3%A9_et_ses_deux_acolythes	0					ja					heterodiegetic	Autor unbekannt	Autor unbekannt	
Ariosto_Roland	Ariosto_Roland5	obvil-romans	5442780.xml	Ariosto		1474	1533	Ludovico Ariosto	male	roman	Roland furieux, poème héroïque de l'Arioste, traduction nouvelle par M. Cavailhon,... Tome 5	1776		roman	etwas unsinnig weil mit illustration: https://www.amazon.de/Roland-furieux-I-Poème-héroïque/dp/1981323821		guter Scan: https://catalog.hathitrust.org/Record/007969257		txt	Tome 5: https://gallica.bnf.fr/ark:/12148/bpt6k54422827 	gutes OCR: https://catalog.hathitrust.org/Record/007969257	0									58.R5	heterodiegetic	Q48900	71386455	
Ariosto_Roland	Ariosto_Roland6	obvil-romans	5442780.xml	Ariosto		1474	1533	Ludovico Ariosto	male	roman	Roland furieux, poème héroïque de l'Arioste, traduction nouvelle par M. Cavailhon,... Tome 6	1776		roman	etwas unsinnig weil mit illustration: https://www.amazon.de/Roland-furieux-I-Poème-héroïque/dp/1981323821		guter Scan: https://catalog.hathitrust.org/Record/007969257		txt	Tome 6: https://gallica.bnf.fr/ark:/12148/bpt6k54422842	gutes OCR: https://catalog.hathitrust.org/Record/007969257	0									58.R5	heterodiegetic	Q48900	71386455	
Ariosto_Roland	Ariosto_Roland7	obvil-romans	5442780.xml	Ariosto		1474	1533	Ludovico Ariosto	male	roman	Roland furieux, poème héroïque de l'Arioste, traduction nouvelle par M. Cavailhon,... Tome 7	1776		roman	etwas unsinnig weil mit illustration: https://www.amazon.de/Roland-furieux-I-Poème-héroïque/dp/1981323821		guter Scan: https://catalog.hathitrust.org/Record/007969257		txt	Tome 7: https://gallica.bnf.fr/ark:/12148/bpt6k54422879/f5.image 	gutes OCR: https://catalog.hathitrust.org/Record/007969257	0									58.R5	heterodiegetic	Q48900	71386455	
Ariosto_Roland	Ariosto_Roland8	obvil-romans	5442780.xml	Ariosto		1474	1533	Ludovico Ariosto	male	roman	Roland furieux, poème héroïque de l'Arioste, traduction nouvelle par M. Cavailhon,... Tome 8	1776		roman	etwas unsinnig weil mit illustration: https://www.amazon.de/Roland-furieux-I-Poème-héroïque/dp/1981323821		guter Scan: https://catalog.hathitrust.org/Record/007969257		txt	Tome 8: https://gallica.bnf.fr/ark:/12148/bpt6k5442297p	gutes OCR: https://catalog.hathitrust.org/Record/007969257	0									58.R5	heterodiegetic	Q48900	71386455	
Ariosto_Roland	Ariosto_Roland1	obvil-romans	5442780.xml	Ariosto		1474	1533	Ludovico Ariosto	male	roman	Roland furieux, poème héroïque de l'Arioste, traduction nouvelle par M. Cavailhon,... Tome 1	1776		roman	etwas unsinnig weil mit illustration: https://www.amazon.de/Roland-furieux-I-Poème-héroïque/dp/1981323821		guter Scan: https://catalog.hathitrust.org/Record/007969257		txt	Tome 1: https://gallica.bnf.fr/ark:/12148/bpt6k5442286w 	EPUB: https://www.ebooksgratuits.com/details.php?book=1574 gutes OCR: https://catalog.hathitrust.org/Record/007969257	0									58.R5	heterodiegetic	Q48900	71386455	
Ariosto_Roland	Ariosto_Roland2	obvil-romans	5442780.xml	Ariosto		1474	1533	Ludovico Ariosto	male	roman	Roland furieux, poème héroïque de l'Arioste, traduction nouvelle par M. Cavailhon,... Tome 2	1776		roman	etwas unsinnig weil mit illustration: https://www.amazon.de/Roland-furieux-I-Poème-héroïque/dp/1981323821		guter Scan: https://catalog.hathitrust.org/Record/007969257		txt	Tome 2: https://gallica.bnf.fr/ark:/12148/bpt6k5442281t	EPUB: https://www.ebooksgratuits.com/details.php?book=1575gutes OCR: https://catalog.hathitrust.org/Record/007969257	0									58.R5	heterodiegetic	Q48900	71386455	
Ariosto_Roland	Ariosto_Roland3	obvil-romans	5442780.xml	Ariosto		1474	1533	Ludovico Ariosto	male	roman	Roland furieux, poème héroïque de l'Arioste, traduction nouvelle par M. Cavailhon,... Tome 3	1776		roman	etwas unsinnig weil mit illustration: https://www.amazon.de/Roland-furieux-I-Poème-héroïque/dp/1981323821		guter Scan: https://catalog.hathitrust.org/Record/007969257		txt	Tome 3: https://gallica.bnf.fr/ark:/12148/bpt6k5442283n	gutes OCR: https://catalog.hathitrust.org/Record/007969257	0									58.R5	heterodiegetic	Q48900	71386455	
Ariosto_Roland	Ariosto_Roland4	obvil-romans	5442780.xml	Ariosto		1474	1533	Ludovico Ariosto	male	roman	Roland furieux, poème héroïque de l'Arioste, traduction nouvelle par M. Cavailhon,... Tome 4	1776		roman	etwas unsinnig weil mit illustration: https://www.amazon.de/Roland-furieux-I-Poème-héroïque/dp/1981323821		guter Scan: https://catalog.hathitrust.org/Record/007969257		txt	Tome 4: https://gallica.bnf.fr/ark:/12148/bpt6k5442280d	gutes OCR: https://catalog.hathitrust.org/Record/007969257	0									58.R5	heterodiegetic	Q48900	71386455	
Arnaud_Euphémie	Arnaud_Euphemie	obvil-romans	5624369.xml	Arnaud		1718	1805	François-Thomas-Marie de Baculard d’Arnaud	male	roman	Euphémie, ou Le triomphe de la religion	1768		roman	----				txt	https://gallica.bnf.fr/ark:/12148/bpt6k108108q	EPUB: schlechtes OCR: https://archive.org/details/euphmieouletri00arna	0									68.12	dialogue novel	Q548610	95165197	
