	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
fille	0.0038335776299470064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00949304502603995	0.0	0.0	0.01767051705170517	0.0	0.0	0.0	0.0	0.003151146365315658	0.05003562366411259	0.0	0.0	0.0	0.0	0.0	0.0
chose	0.0037641916094954767	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013867304243873281	0.0036917397323488694	0.0	0.0	0.0	0.006968276006601525	0.0	0.0	0.009306662766035251	0.0033413017494295337	0.0	0.0	0.0	0.0	0.0	0.0	0.0
livre	0.0	0.01836154982388365	0.0	0.0	0.0	0.0	0.003501573939801224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ouvrage	0.0	0.016020906715146006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
lire	0.0	0.013043972275877742	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008701781677645171	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
auteur	0.0	0.01165776616293603	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
histoire	0.0	0.008249062606521987	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003966098011517983	0.0	0.0	0.0	0.0	0.0	0.0	0.0
pièce	0.0	0.00727190092034996	0.0	0.0	0.003010027380369544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
talent	0.0	0.006362913305306216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
lecture	0.0	0.0061811157822974664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
théâtre	0.0	0.006044767640040904	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
genre	0.0	0.005999318259288717	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
écrire	0.0	0.005976593568912623	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028062030577769136	0.0	0.003640117353037053	0.0	0.0	0.0	0.0	0.0	0.0	0.0
